Datetime, Aggregationtime, Station, Lat, Lon, Alt, Qualityflag, Ta_200, P_container_NRT, SD
"1914-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",1.0,42.0,"NaN"
"1914-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",1.5,46.0,"NaN"
"1915-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-2.1,81.0,"NaN"
"1915-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.8,16.0,"NaN"
"1915-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.8,81.0,"NaN"
"1915-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.2,45.0,"NaN"
"1915-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.8,74.0,"NaN"
"1915-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",16.2,67.0,"NaN"
"1915-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.7,118.0,"NaN"
"1915-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.6,97.0,"NaN"
"1915-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.4,103.0,"NaN"
"1915-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",4.8,35.0,"NaN"
"1915-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.0,61.0,"NaN"
"1915-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",3.1,117.0,"NaN"
"1916-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.0,71.0,"NaN"
"1916-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.1,78.0,"NaN"
"1916-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",3.0,37.0,"NaN"
"1916-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.3,58.0,"NaN"
"1916-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.4,62.0,"NaN"
"1916-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.1,131.0,"NaN"
"1916-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.8,95.0,"NaN"
"1916-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.3,86.0,"NaN"
"1916-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.1,63.0,"NaN"
"1916-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.9,52.0,"NaN"
"1916-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.8,91.0,"NaN"
"1916-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.1,94.0,"NaN"
"1917-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-4.7,61.0,"NaN"
"1917-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-5.1,21.0,"NaN"
"1917-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.4,53.0,"NaN"
"1917-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.6,61.0,"NaN"
"1917-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.7,69.0,"NaN"
"1917-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.9,88.0,"NaN"
"1917-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.1,109.0,"NaN"
"1917-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.9,153.0,"NaN"
"1917-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.3,79.0,"NaN"
"1917-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.0,97.0,"NaN"
"1917-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.9,71.0,"NaN"
"1917-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-5.7,78.0,"NaN"
